Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Ailanthus altissima	broadleaved	deciduous
Cupressocyparis leylandii	needleleaved	evergreen
Malus sylvestris	broadleaved	deciduous
Celtis australis	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Ailanthus altissima	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus serrulata	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Abies nordmanniana	needleleaved	evergreen
Populus simonii	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Prunus serrulata	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Acer saccharinum	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Cedrus deodara	needleleaved	evergreen
Chamaecyparis lawsoniana	needleleaved	evergreen
Platanus x hispanica	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
"Populus alba ""Bolleana"""	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Acer negundo	broadleaved	deciduous
Chamaecyparis lawsoniana	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Celtis australis	broadleaved	deciduous
